branch,wavelength_nm,peak_power_W,pulse_energy_J,fwhm_fs
H7,51.4286,76733558.2307359,2.78491192187037e-06,34.6467572748495
H6,60,123731068.173628,6.33713605827159e-06,52.6209582268747
H5,72,170577732.638716,9.64621540347537e-06,48.1984838463948
